Truth,Decoded
bin red with g seven soon,place white i g six soon
set white by c one soon,set white by g two soon
lay blue at d six now,s blue at g six soon
lay blue at q five soon,set blue by l two soon
place green by y seven again,place green by y two please
lay red by r seven again,s white by h six again
set blue with u seven again,set blue i q six please
lay red at r one soon,y green i q one soon
set red in h three again,s white in g six eaoe
lay blue by k seven again,y blue by p two please
bin green at n five soon,place red in i nine soon
place blue with p eight please,place blue with p set please
place blue by c four now,place blue a u four now
lay green at z seven soon,set green i g six soon
set red at h four now,set green a u four now
bin blue in f one again,bin blue a q g soon
set red in h one soon,s white a c one soon
set red with v one soon,y white with g nine soon
place red in i nine again,place r i j six please
bin blue at z six please,bin blue a g six please
bin blue in z zero now,place blue i v two soon
set red in n seven again,set white a g two again
bin white with a nine soon,bin white with j with soon
bin red at m three soon,bin white a m nine soon
set white in o one soon,set white a q nine soon
lay red by r six please,lay white by h six please
set blue by u three again,set blue by h two please
set red at b three again,set white i v two please
lay green with g three soon,lay blue with g one soon
set white with c six please,set white with g six please
place green with r four now,s blue with v four again
bin red in f seven again,place h i y seven please
bin green at t nine soon,place green i g bin soon
bin red at g zero please,place white in g two please
place red in p one soon,place white i p one soon
set blue with o one soon,set blue i z one soon
lay white by l nine again,s h by g six soon
set green at p one soon,set h with u two soon
place blue by j one again,place blue by h one please
lay green in z two now,lay green at g two soon
set green with d three again,s blue with g six soon
set blue by b one again,set blue i q five please
place white by d eight please,place white by p eight please
place green in q three soon,place green i g two soon
lay white at r six now,set green a j bin soon
place white by y one again,place white by y h again
bin green in a five again,place green with c five please
bin green at a six now,place blue i h six soon
place red at v eight now,place blue with t six soon
bin white with b zero please,place white with b two please
