Truth,Decoded
set white in b two now,s white with o two soon
set white in o zero now,set white i o t again
lay white by l eight please,s green i m nine easn
lay red in k two now,s white i c bin soon
bin red in l nine soon,place white in x bin soon
place blue in b nine again,place blue i p four please
lay green at s two now,set green i t two now
lay blue in x five soon,lay e i o r soon
lay blue by r zero please,set blue i k nine please
bin white by t seven soon,bin blue by y six soon
lay green with g two now,place blue with d r soon
bin red by m seven soon,place white by b e soon
lay red in d nine soon,lay white a six soon
place red at j three again,place blue a t six please
bin red with t six please,bin blue with six please
lay green in f one soon,set white i u two soon
lay white at z one soon,s white in u o soon
set white in h six now,lay white a six please
lay green at f five soon,lay red i m four soon
set blue in t three soon,place e i u four soon
set green at p two please,set green i m two please
place red with x seven soon,place white i p six soon
set white by v five again,set white i n bin please
set white in o three again,set white i t o please
bin green at h zero now,bin blue with two soon
bin green by o zero please,bin blue with m one please
set green in i two now,set green in x two soon
lay white with m two please,place white i m r please
lay blue by e three again,place blue by m bin please
place red by j five soon,place red i o t soon
set green with x four please,set green with o four set
set blue in g six please,s blue i t six please
bin white by n five again,bin white by b nine please
set green with d zero now,set h with z two soon
place white in j two now,bin r i x two now
bin blue in l two now,lay blue with u four soon
place blue by p three soon,place blue i b e soon
place white by x eight now,lay white with m four soon
place white with e three again,place white with z six please
bin white in t zero please,bin white in z six please
place green by r one soon,place blue by m four soon
lay blue with y six now,y blue with z six please
bin red with n zero now,bin blue with b two please
set red at o zero please,set r i m three please
place white at j seven soon,place white by x six soon
set green in b eight now,place green with z six please
bin green in g six now,s blue with p six please
lay white in y six now,s white by p six now
set white at v zero please,s white i c two set
set white by o eight now,set white by k bin again
