Truth,Decoded
bin blue with t zero please,bin blue with g two please
set white in u four now,set white at q two now
lay green in l seven again,set green i h nine soon
set blue with h seven soon,lay blue at l nine soon
lay blue with e six please,s blue with c six please
set white at u nine soon,set white at g two soon
set white at b eight please,set white at c six please
lay blue by k four now,e blue i h four now
lay blue by y two now,place blue i y t now
lay blue at q four now,set blue i q o soon
lay white by s three again,set white by c six please
bin blue by f seven soon,bin blue by b two soon
set blue with b five again,lay blue i e six soon
place white in j three soon,place white a a nine soon
lay blue in d two now,set blue with c two now
lay green in r nine soon,set green in h nine soon
lay red in q nine again,set white at q six again
bin blue by z nine soon,bin blue by p six soon
set blue with h six now,set blue i c six soon
place red at j two please,place red a t six soon
set blue at a six please,s blue at c six please
place white by y zero please,place white by y r please
bin white with n nine again,bin blue i v six soon
place blue in v zero please,place blue i u two please
bin green by b one soon,place blue with b four soon
lay white with s five soon,place green i q t soon
set green with d two please,set green with q two please
place green by e two now,place green by q t soon
bin blue with s nine soon,bin blue with t six soon
bin white at a three again,bin white at h three please
place green in d four now,place green i q t soon
lay green with g five again,set blue with v six again
lay blue at k two please,set blue i l two please
set white by i seven again,set white by h seven soon
set blue in n zero please,a blue with t six soon
bin red in m one again,place red i c one again
lay red with l six please,set red with c six please
bin green in g seven soon,place green a c nine soon
bin white with h five again,bin white with v nine please
lay green with m eight please,s green with v three please
bin blue in z two please,bin blue i q two soon
place red with j nine soon,place white with c nine soon
lay red in k three soon,set white i c nine soon
lay white by s zero now,set white i p two soon
set blue by n eight please,set blue by k eight please
bin green in a three soon,place green a h nine soon
bin red at f eight now,bin white a k set soon
lay blue by r one again,set blue by y nine please
set red with c one again,s green at u four eaie
set blue at a seven again,s green with t six soon
