Truth,Decoded
bin blue with t zero please,lay r i nine now
set white in u four now,lay r i nine now
lay green in l seven again,lay r i five now
set blue with h seven soon,lay r i five now
lay blue with e six please,lay r i five now
set white at u nine soon,lay r i five now
set white at b eight please,lay r i nine now
lay blue by k four now,lay r i nine now
lay blue by y two now,lay r i five now
lay blue at q four now,lay r i nine now
lay white by s three again,lay r i nine now
bin blue by f seven soon,lay r i nine now
set blue with b five again,lay r i five now
place white in j three soon,lay r i five now
lay blue in d two now,lay r i five now
lay green in r nine soon,lay r i nine now
lay red in q nine again,lay r i five now
bin blue by z nine soon,lay r i nine now
set blue with h six now,lay r i five now
place red at j two please,lay r i five now
set blue at a six please,lay r i five now
place white by y zero please,lay r i nine now
bin white with n nine again,lay r i five now
place blue in v zero please,lay r i five now
bin green by b one soon,lay r i nine now
lay white with s five soon,lay r i five now
set green with d two please,lay r i nine now
place green by e two now,lay r i five now
bin blue with s nine soon,lay r i nine now
bin white at a three again,lay r i nine now
place green in d four now,lay r i nine now
lay green with g five again,lay r i nine now
lay blue at k two please,lay r in nine soon
set white by i seven again,lay r i nine now
set blue in n zero please,lay r i five now
bin red in m one again,lay r in nine soon
lay red with l six please,lay r i nine now
bin green in g seven soon,lay r i nine now
bin white with h five again,lay r i nine now
lay green with m eight please,lay r i nine now
bin blue in z two please,lay r i five now
place red with j nine soon,lay r i five now
lay red in k three soon,lay r i five now
lay white by s zero now,lay r i five now
set blue by n eight please,lay r i nine now
bin green in a three soon,lay r i nine now
bin red at f eight now,lay r i nine now
lay blue by r one again,lay r i five now
set red with c one again,lay r i five now
set blue at a seven again,lay r i five now
