Truth,Decoded
place red at p five soon,place blue i m three soon
set red by b six please,set r i six please
set blue in a three again,a blue i six please
set red at u five again,set e with u three please
bin green by u five again,lay e i m three please
place green in x nine again,set blue i six please
bin blue by m two please,a blue with m four soon
set red by o four please,place e i o four soon
lay blue at k three again,place r i m six please
place white with e one soon,place blue with r soon
bin white by a four now,bin blue i m one now
lay white with z nine soon,lay e i m nine now
lay blue at k zero now,place blue i m five soon
lay blue in j six now,set blue i six please
set red at h seven again,bin blue i six please
place white at d three soon,place bin i m three soon
bin white in s nine soon,bin r i m nine now
place blue in b seven soon,place blue with four soon
set red in h zero now,place green i m four soon
lay white with s seven again,place white i five please
bin red with g nine again,bin blue with six please
set green with j seven again,a blue i six please
set blue with h nine again,set blue i six please
set green by j three again,place blue i six please
set white with p two now,set blue i m three again
place white in j five again,place white i m five please
set green in o seven soon,set e i o four soon
bin white by h zero please,bin blue i m five soon
lay red by e six now,set blue i six soon
place red at c eight please,bin blue i six please
bin red at s eight please,set blue i six please
place green at y zero now,place blue with m five soon
lay red at k nine again,set e i six please
bin blue at l seven soon,bin blue with o four soon
place blue at o eight now,place blue i nine again
place white at q three again,place bin i five please
place green with y nine soon,set blue i m five now
place green by e four please,set blue i m five please
lay white with m one soon,place r i o four soon
lay blue by e two please,place blue i m three soon
lay white with s six please,set r i six please
place green at d nine soon,a red i m five soon
lay white at z two please,set white i m three soon
place blue by p five again,lay blue i m five please
bin red by a zero please,bin blue i five please
place red in v five soon,place blue with m four now
place white in d zero please,a blue i five soon
place white at x four now,place blue i five again
place red by p nine soon,place blue i five soon
bin white in s eight now,a blue i six please
