Truth,Decoded
set blue by h three soon,set blue i m two soon
bin green at u one again,place blue with l five again
bin red at s nine again,place blue by s six again
set blue at n three soon,place blue i c two soon
set red by h eight now,set green by s six again
place green at k five again,bin blue with d five please
lay green at z nine again,set white i t six please
bin blue by s seven again,bin blue i six please
bin red in s two now,place blue at c bin soon
lay blue in j nine again,set r i u five please
place green at q eight please,place blue i c six please
lay white at l four please,set white i u three soon
place white at d five again,place white i s six please
place white with k six please,place blue i six please
place green with e nine again,place blue i l five again
place white in x two please,place white at c six please
place red at c seven soon,place blue i c six please
set white in b three soon,set r i m three soon
lay white at e nine soon,set white at c t soon
lay red by e eight please,set red i c six please
lay green with t two please,set white i m two please
place white by q four now,e white i g three again
place green with e six now,place blue with p six please
lay white with f eight please,set white with c six please
lay blue at d nine again,place blue i s six please
set red by b five soon,set white i m three soon
bin white at g six please,place r i c six please
place green in j nine soon,place blue i t six soon
lay green by s seven soon,set e at c two soon
set green in v two please,set blue i c bin set
place red with q two now,place blue i u three please
place red by j six please,place blue i c six please
set white in b four please,place red i m three set
place green at q seven soon,place blue i m two soon
set green with j five soon,place blue i m e soon
bin red in s four please,place white i c six please
place green with z zero please,set blue with d three please
place red by q zero please,place blue i m four soon
set blue at t nine again,set blue i c six please
set green at i six now,set green a s six please
bin red in z seven soon,set green with c six soon
set red with v two please,set green with o three please
set blue by u zero now,place blue i u three again
lay white by z seven again,set white by c six please
bin green by h seven again,place blue i p six please
bin blue by f six now,bin blue i m six please
place blue with c nine soon,c blue i u two please
set green at c four please,s red at m three please
set red in h two please,place white at c six please
bin white at m nine soon,place white by y five soon
