Truth,Decoded
set blue with u six please,lay r i bin again
set red in t nine soon,lay r i five again
bin green with o four please,lay r i five again
bin green in n three again,lay r i bin again
bin white at n zero please,lay r i bin again
bin white in m four now,lay r i bin again
lay white by s two please,lay r i bin again
lay blue with r two now,lay r i bin again
bin white with a eight now,lay r i bin again
lay green at m one again,lay r i bin again
bin blue in r eight please,lay r i bin again
place red with x six now,lay r i bin again
bin red in f six please,lay r i bin again
bin white at t three soon,lay r i five again
bin green at h two please,lay r i bin again
bin white at a two please,lay r i five again
place white at q zero now,lay r i bin again
set green at i seven soon,lay r i five again
place blue with x one soon,set r at e again
place red in p two please,lay r i five again
place red by p eight now,lay r i bin again
place green with e seven soon,lay r i five again
bin white with u one soon,lay r i five again
lay blue in q one soon,lay r i five again
lay white in e seven again,lay r i five again
lay green by m four please,lay r i bin again
lay red at y five soon,lay r i bin again
place blue by v seven soon,lay r i five again
bin white with u zero now,set r at e again
place blue at v three soon,lay r i bin again
place blue by c seven again,lay r i bin one
set blue by u two please,lay r i five again
bin blue with m seven again,lay r i bin again
lay blue in x four now,lay r i bin again
set white with p three soon,lay r i five again
bin blue by m three again,lay r i bin again
set red at b two please,lay r i five again
lay red by e seven soon,lay r i five again
bin green with o five again,lay r i bin again
set white with j one again,lay r i bin again
bin green at a eight please,lay r i bin again
set white at b six now,lay r i bin again
set white by v three soon,lay r i five again
lay red in y one soon,lay r i five again
place red with q five again,lay r i five again
place red in c two now,lay r i bin again
set red by o five again,lay r i bin again
set white by c three again,lay r i five again
place green by k seven soon,lay r i bin again
lay white at l two now,lay r i bin again
