Truth,Decoded
lay red by y nine soon,s r by y eight soon
lay red with z two now,a white with g two soon
lay green in z four please,s green a u four please
lay red by l zero now,set white by s two soon
lay white in e five soon,set white a e bin soon
place blue at i seven again,place blue at h six again
set green in i four please,set green at q two soon
set green at v four now,s blue with u four now
lay blue by q eight now,lay blue i p two again
place red with k zero please,place e with c two soon
lay red at r three again,set blue a o two soon
set red with v three again,lay white with q six soon
set green by p six please,set green with p set please
place red by x four please,place red by e two please
set blue by a nine soon,set blue by k eight soon
bin green by b three again,place blue with v two please
lay red with z five again,set white with q two soon
bin white in g zero now,bin white a g two now
lay blue in j eight please,set blue in k eight please
set green by c six now,s green in p six soon
bin blue with s eight now,bin blue with c six again
bin green in g eight please,place green i d six please
set blue in t four please,y blue at u two soon
bin white at g four now,bin white a u four now
place red at x zero please,place red in h six please
set red with o six now,set blue with g six soon
place green in x seven soon,place green i t six soon
set green with x five again,set green with q two soon
bin red by g four please,blue white by z two please
lay red with f three again,set blue i u six soon
set blue at g nine soon,set blue i g eight soon
bin blue at f two now,bin blue i m four now
lay green at f seven again,lay green in v set please
set blue in a zero now,set blue a c two soon
lay red in y zero now,bin green with g two please
lay blue by k six please,set blue i p six please
place green by r three again,place green by y bin please
place blue at p one again,place blue with y eight again
lay green at m zero please,set green i c two please
set green in b nine soon,set green with z six soon
place white in p eight please,place blue in p six please
set white at i one soon,lay white i o two soon
set red at h six please,set white a e set please
lay blue with k nine soon,set blue with h eight soon
place green by r zero now,place green by k two again
lay red with f zero now,place blue i u two soon
lay white in y eight please,set white a y eight please
set red at u three soon,set r in g bin soon
set white by i five soon,set white by l eight soon
set red at n eight now,set red in k eight again
