Truth,Decoded
place white with e two please,a e i l five soon
lay green by s six now,lay blue i l five now
lay green at z eight please,lay e i l five now
lay red by r four now,a e i l five now
set green by p five soon,lay blue i l four soon
lay white with f six now,lay e i l five now
lay red in e one again,lay e i l five now
set red at b zero now,lay e i l five soon
set red in a eight please,lay e i l five now
lay white in l one again,lay e i l five now
place white with k seven again,a blue i l five now
set white by v two now,lay e i l five now
lay green at l nine soon,lay e i l five now
lay red in k five again,lay e i l five now
lay blue in q zero now,lay blue i l five now
place red in i six now,bin bin i l five now
place blue in b six now,a blue i l five now
place white with e zero now,a blue i five now
set white with v six now,lay blue i l five now
place blue by v six now,a blue i l five now
set blue with o three again,bin blue i l five soon
bin green in g nine again,lay r i l five now
set blue with o zero now,bin blue i l five soon
place red with d four now,a blue i l five now
set green with p nine soon,lay e i l five now
bin green at n four now,a e i l five now
lay red in d eight now,a e i l five now
set blue at t seven soon,lay blue i l four soon
set blue at a five soon,a blue i l five now
set green with x three soon,lay blue i l four soon
place red with d six please,a blue i l five now
place green with e eight please,a blue i l five now
lay green by g zero please,lay e i l five bin
place blue at i five soon,lay r i x four soon
lay blue with e seven again,bin r i five again
lay white in r five again,lay e i l five now
place blue in i two please,a blue i l five now
set red at u four please,lay e i l four now
place white at q two please,lay e i l five now
place green at e one again,a e i l five soon
bin green with b five soon,lay blue i l five now
lay blue by y four please,a blue i l five soon
bin white with b one again,bin blue i l five now
set green by p four now,lay e i l five now
bin red in l eight now,bin r i l five soon
set red with i three soon,lay blue i l four soon
set green at i nine again,lay e i l five now
set blue in g four now,lay blue i x five now
place blue at c zero now,lay e i l five now
place green in x eight please,a r i l five now
