Truth,Decoded
lay red at e two now,set white a q two soon
set red with i two now,set white with q two soon
bin blue at l eight please,place blue i y eight please
lay green in s zero please,lay h with c two please
place white in p nine again,place white with p eight soon
lay red at k eight please,set blue a m eight please
lay red by z one again,s blue by p e please
set green in o eight please,set e i v six please
set green with p eight now,lay blue with p eight soon
lay blue with k eight now,lay blue with e eight again
bin red in z six now,place white a g two now
bin red in s five again,place white a j five please
bin white by g eight now,bin white by g nine soon
set green with j four now,place e i u two soon
place white with r zero please,place white with q two please
lay blue by y three soon,set blue by y two soon
place green by e three soon,place green i p four soon
lay blue in x six please,lay blue a g two please
lay red with l five soon,lay white with r five soon
bin blue with m five soon,blue blue with v five soon
set green at v five soon,set green with q three soon
set white with p four please,set white with u r please
bin green with b seven again,place blue with v two please
set green in v zero now,set blue with u two soon
lay white at z three again,lay white a q two please
bin red at f nine soon,place white a h nine soon
bin white with h two now,bin white with q three soon
set blue by a eight now,set blue by e eight soon
lay white with s four now,set white with u two now
set green with j six please,set blue with g six please
bin white at a one soon,bin white in h one soon
lay green in z three soon,lay green a q two soon
lay blue with y eight please,place blue by u three now
bin green at h one soon,place green i u e soon
place green by y four now,place green by b four now
lay red in k four please,s white a c four please
set blue at n five again,set blue a f five please
bin red at m two now,place white in u two now
set red with b nine soon,set white with g six soon
place white at j eight please,place white a d eight please
lay blue with r four please,set blue with r two please
place blue in u nine soon,place blue a q two soon
set red by b seven again,lay red by b two please
set white in u six please,set white a q two please
place green by y six please,place green by y e please
bin green by b two please,place r by g two please
place green at k four please,place green a u four please
lay blue in d four please,lay blue i c four please
set blue by n nine again,set blue by i eight please
set green with d one soon,set blue with u one soon
