Truth,Decoded
lay red at e two now,lay e i five one
set red with i two now,lay e i five one
bin blue at l eight please,lay bin i five one
lay green in s zero please,lay bin i five one
place white in p nine again,lay bin i five one
lay red at k eight please,lay bin i five one
lay red by z one again,lay bin i five one
set green in o eight please,lay bin i five one
set green with p eight now,lay bin i five one
lay blue with k eight now,lay bin i five one
bin red in z six now,lay e i five one
bin red in s five again,lay bin i five one
bin white by g eight now,lay bin i five one
set green with j four now,lay bin i five one
place white with r zero please,lay bin i five one
lay blue by y three soon,lay bin i five one
place green by e three soon,lay bin i five one
lay blue in x six please,lay bin i five one
lay red with l five soon,lay bin i five one
bin blue with m five soon,lay bin i five one
set green at v five soon,lay bin i five one
set white with p four please,lay bin i five one
bin green with b seven again,lay bin i five one
set green in v zero now,lay bin in five one
lay white at z three again,lay bin in five one
bin red at f nine soon,lay bin i five one
bin white with h two now,lay bin i five one
set blue by a eight now,lay bin i five one
lay white with s four now,lay bin i five one
set green with j six please,lay bin i five one
bin white at a one soon,lay bin i five one
lay green in z three soon,lay bin i five one
lay blue with y eight please,lay e i five one
bin green at h one soon,lay bin in five one
place green by y four now,lay bin i five one
lay red in k four please,lay bin i five one
set blue at n five again,lay bin i five one
bin red at m two now,lay bin i five one
set red with b nine soon,lay bin i five one
place white at j eight please,lay bin i five one
lay blue with r four please,lay bin i five one
place blue in u nine soon,lay bin i five one
set red by b seven again,lay bin i five one
set white in u six please,lay bin i five one
place green by y six please,lay bin i five one
bin green by b two please,lay bin i five one
place green at k four please,lay bin i five one
lay blue in d four please,lay bin i five one
set blue by n nine again,lay bin i five one
set green with d one soon,lay bin i five one
