Truth,Decoded
bin red in z eight please,lay r i nine peaon
place white at q one soon,lay r i nine peaon
set green in c zero please,lay r in n now
lay blue at x eight now,lay r i nine soon
bin green with b four now,lay r i nine peaon
set white by i six please,lay r i nine soon
place red by d one soon,lay r i nine bin
place green in q four please,lay r i nine bin
bin red by g two now,lay r i nine soon
lay white with m three again,lay r i nine soon
set green by x one again,lay r i nine bin
place blue at v five again,lay r i nine bin
lay red with z three soon,lay r i nine bin
place red with j eight now,lay r i nine soon
place blue by v nine again,lay r i nine bin
lay white at l three soon,lay r i nine bin
place white with k four now,lay r i nine bin
lay red with s zero please,lay r i nine bin
bin blue with g three again,lay r i nine bin
set blue in n one again,lay r i nine bin
place red in c five again,lay r i nine soon
lay white by f four please,lay r i nine bin
bin red with t four now,lay r i nine bin
set white at b nine again,lay r i nine soon
lay red with r nine soon,lay r i nine soon
place white by d seven soon,lay r i nine bin
set blue at h zero please,lay r i nine soon
place white in c eight now,lay r i nine bin
bin white by n three soon,lay r i nine bin
bin green with i zero please,lay r i nine soon
bin green at h three again,lay r i nine bin
lay white by f two now,lay r i nine soon
set white by p one again,lay r i nine soon
bin white by h one again,lay r i nine bin
place red in c four please,lay r i nine bin
place red at p four now,lay r i nine bin
place white with y five again,lay r i nine bin
bin blue at l six now,lay r i nine bin
set red with o eight please,lay r i nine bin
lay green with a zero please,lay r i nine peaon
place green by e five again,lay r in n soon
bin blue in r seven soon,lay r i nine bin
bin blue in z three again,lay r i nine bin
place blue with j three soon,lay r i nine bin
set green in o six now,lay r i nine peaon
set white at i zero now,lay r i nine soon
bin green by h six please,lay r i nine bin
bin blue in l five again,lay r i nine bin
lay green by m two now,lay r i nine bin
place green by k nine again,lay r i nine bin
