Truth,Decoded
set blue by h three soon,set blue by e two soon
bin green at u one again,place green a u one again
bin red at s nine again,bin white in s six again
set blue at n three soon,set blue in r two soon
set red by h eight now,set white by g six soon
place green at k five again,a blue in g five please
lay green at z nine again,set white in g six soon
bin blue by s seven again,bin blue by h six peaon
bin red in s two now,bin white in q two soon
lay blue in j nine again,set blue i g six soon
place green at q eight please,place green i g six soon
lay white at l four please,s white in o one please
place white at d five again,place white a g five please
place white with k six please,place blue i c six soon
place green with e nine again,place green with g nine again
place white in x two please,place white in q three please
place red at c seven soon,place white in g six soon
set white in b three soon,set white i p nine soon
lay white at e nine soon,lay white in g six soon
lay red by e eight please,s red i p eight please
lay green with t two please,y blue with g nine please
place white by q four now,place white by b t now
place green with e six now,place e with g bin soon
lay white with f eight please,set white with g with please
lay blue at d nine again,lay blue a g eight soon
set red by b five soon,set e by b two soon
bin white at g six please,place white at g six please
place green in j nine soon,place green i g nine soon
lay green by s seven soon,set green by g two soon
set green in v two please,s green with g two please
place red with q two now,place blue i u two now
place red by j six please,place white by g six please
set white in b four please,s white in b one please
place green at q seven soon,place green a g bin soon
set green with j five soon,set blue with g nine soon
bin red in s four please,bin white in t two please
place green with z zero please,place green with g two pleon
place red by q zero please,place white by u two soon
set blue at t nine again,set blue in g six soon
set green at i six now,set green in g bin soon
bin red in z seven soon,a h in g six soon
set red with v two please,s blue i q zero please
set blue by u zero now,set blue by q two now
lay white by z seven again,set white by g two again
bin green by h seven again,place green in p two please
bin blue by f six now,bin blue by y six soon
place blue with c nine soon,bin blue i u six soon
set green at c four please,set green a u four place
set red in h two please,s white in g two soon
bin white at m nine soon,bin white in y with soon
