Truth,Decoded
lay red with f zero now,place blue with q two soon
lay white in y eight please,set white a y eight please
set red at u three soon,set white i g two soon
set white by i five soon,set white by y eight soon
set red at n eight now,set e in k eight soon
lay green with t zero now,set blue with g two soon
place blue in i three again,place blue i y five soon
place red by d three again,place red i h two soon
lay red by y eight now,set blue with p nine now
place white at x seven again,place white in h two please
bin white in t one again,bin white in h one soon
place red in p three again,place white in g two please
place white by k zero now,place green with p two soon
bin white at t two now,bin white i q two soon
place red in i seven soon,place white in g two soon
bin white in m six please,bin white with v six please
bin red at g one again,bin r in g t please
place green with l one soon,place e with v four soon
bin green with u nine again,bin blue with u three please
set blue in g seven again,set blue a g six soon
bin green in t seven again,place e a g six please
lay blue in x seven again,set blue in g two soon
lay blue by k five soon,set blue by c five soon
place blue in o four now,place blue i u four soon
lay green by f eight now,set blue in i eight soon
lay green by f nine soon,place blue by q two soon
place white by d six now,place white by g six now
set red at b one soon,set white with c four soon
lay blue with l one again,set blue with r nine soon
lay green in s one again,set green i g two soon
bin red in f four now,place r i n four now
place red in p zero now,place white with g two soon
set white with p five again,set white with p five soon
set green by v eight now,set blue i k nine soon
lay blue at d seven soon,set blue i g two soon
lay blue at q seven again,set blue i q two soon
lay green at f six please,set blue i g six please
lay blue at k one soon,place blue i e four soon
set green at c five again,set blue i g nine soon
lay red at y four now,set blue with u four now
lay blue by e one soon,set blue i p t soon
bin red by m nine again,bin red by y eight soon
bin blue at f three soon,bin blue i q two soon
bin blue in r nine again,bin blue in i eight soon
place red by x five again,place r i h two soon
set white by c two please,set white by g two soon
set green by x zero please,set blue i g two soon
bin green with u eight please,place e i u with please
lay white at f one again,set white a n three again
bin blue at s one soon,bin blue in o o soon
