Truth,Decoded
set blue in g five soon,set blue i g six soon
set green in o nine again,set e i g eight again
lay white with f seven soon,set white with y two soon
place blue at v two now,place blue with g two bin
place blue at p zero please,place blue in p two please
place red in v six please,place white with v six please
place white by x nine soon,place white by g with soon
set white in h seven soon,set white in g two soon
lay blue with e five soon,e blue with v two soon
bin white with u two please,bin white with o four please
place green by k eight please,place green by p nine please
set green with q one again,set blue with g in please
bin white with u three again,bin white with u six soon
set red by i one again,set red by y one please
lay white in e four now,set white with c four soon
place red by d zero now,place red by g two now
set white at o five soon,set white in q five soon
place blue with d zero please,place blue with g two soon
set red in n five soon,bin green with t two soon
place red at j zero now,place white i g two soon
bin green in t five soon,blue blue i g two soon
place red by j four now,place white by g four soon
place white at d four please,place white i y four please
set green by j two please,set blue by g two please
place red with q three soon,place white with u two soon
set red at o one again,set blue in g six please
place red at c six now,place white i g six soon
lay blue in j seven soon,set blue in g two soon
set green by p seven again,set green with b six soon
lay red by l three again,set green by h three soon
place green with l two please,place e with u two please
bin green with o three soon,place blue with u two soon
place green in q two now,place green a g two soon
place green with y eight now,place blue with q nine soon
lay blue in q two please,set blue in q two soon
place blue at c two please,place blue in g two plson
set green at p zero now,set green with b two now
bin blue by s four now,bin blue by e four soon
place green by y five soon,place green by b bin soon
place green in x six now,place green with g six soon
place blue by i nine soon,place blue in y eight soon
place blue in o seven again,lay blue in m four now
bin white at n one again,bin white in h six soon
bin green with h nine soon,place blue with g bin soon
lay green with m six now,lay blue with p six pleon
lay white in l zero please,set white in g two soon
bin blue at s two please,bin blue in g two soon
bin white by t six now,bin white by g six now
place white with y two now,place blue with u two now
place red by d two please,place white by g two please
