Truth,Decoded
lay red with f zero now,e r i i one
lay white in y eight please,e r i i one
set red at u three soon,e r i i one
set white by i five soon,e r i i one
set red at n eight now,e r i i one
lay green with t zero now,e r i i one
place blue in i three again,e r i i one
place red by d three again,e r i i one
lay red by y eight now,e r i i one
place white at x seven again,e r i i one
bin white in t one again,e r i i one
place red in p three again,e r i i one
place white by k zero now,e r i i one
bin white at t two now,e r i i one
place red in i seven soon,e r i i one
bin white in m six please,e r i i one
bin red at g one again,e r i i one
place green with l one soon,e r i i one
bin green with u nine again,e r i i one
set blue in g seven again,e r i i one
bin green in t seven again,e r i i one
lay blue in x seven again,e r i i one
lay blue by k five soon,e r i i one
place blue in o four now,e r i i one
lay green by f eight now,e r i i one
lay green by f nine soon,e r i i one
place white by d six now,e r i i one
set red at b one soon,e r i now one
lay blue with l one again,e r i i one
lay green in s one again,e r i i one
bin red in f four now,e r i i one
place red in p zero now,e r i i one
set white with p five again,e r i i one
set green by v eight now,e r i i one
lay blue at d seven soon,e r i i one
lay blue at q seven again,e r i i one
lay green at f six please,e r i i one
lay blue at k one soon,e r i i one
set green at c five again,e r i i one
lay red at y four now,e r i i one
lay blue by e one soon,e r i now one
bin red by m nine again,e r i i one
bin blue at f three soon,e r i i one
bin blue in r nine again,e r i i one
place red by x five again,e r i i one
set white by c two please,e r i i one
set green by x zero please,e r i i one
bin green with u eight please,e r i i one
lay white at f one again,e r i i one
bin blue at s one soon,e r i i one
