Truth,Decoded
place red at p five soon,place green i p nine soon
set red by b six please,set white by p six please
set blue in a three again,set blue i v six please
set red at u five again,set green in q two please
bin green by u five again,set green with p two please
place green in x nine again,place green i s eight please
bin blue by m two please,bin blue by m two please
set red by o four please,set green by b t please
lay blue at k three again,set blue i y three please
place white with e one soon,place blue with u one soon
bin white by a four now,bin white by m four now
lay white with z nine soon,set white with y nine soon
lay blue at k zero now,set blue in c two soon
lay blue in j six now,set blue at g six soon
set red at h seven again,bin red i c five please
place white at d three soon,place white a g two soon
bin white in s nine soon,bin white at l eight soon
place blue in b seven soon,place blue with p two soon
set red in h zero now,place white at q two soon
lay white with s seven again,set white with c six soon
bin red with g nine again,place blue with g six soon
set green with j seven again,place green i g six please
set blue with h nine again,set blue i g eight again
set green by j three again,set r by g six please
set white with p two now,set white with b two now
place white in j five again,place white a g five please
set green in o seven soon,set green i g one soon
bin white by h zero please,bin white by p two please
lay red by e six now,set white by c six soon
place red at c eight please,place red at c six please
bin red at s eight please,set white i y eight please
place green at y zero now,place green with b two soon
lay red at k nine again,set r i t six again
bin blue at l seven soon,bin blue i r two soon
place blue at o eight now,place blue i y nine now
place white at q three again,place white a g six again
place green with y nine soon,place h i r nine soon
place green by e four please,place green i p one please
lay white with m one soon,set white with y e soon
lay blue by e two please,set blue by g two soon
lay white with s six please,set white with g six please
place green at d nine soon,place green at g bin soon
lay white at z two please,set white in q two please
place blue by p five again,place blue with b five please
bin red by a zero please,place white by p zero please
place red in v five soon,place white with p five soon
place white in d zero please,place white i g two please
place white at x four now,place h i c two again
place red by p nine soon,place white by p six soon
bin white in s eight now,bin white at s six soon
