Truth,Decoded
bin white with n eight please,bin blue with b eight please
place blue at c one soon,place blue i o three soon
set white with i eight now,place white i u four again
lay blue with r three soon,lay blue i u four please
place red at j one soon,set green a l four soon
place green in k zero please,place green i c zero please
set red in a seven soon,s white a t six soon
bin blue in f zero please,bin blue in q two please
bin green at n six please,place green a e set please
set blue by h five again,set blue by b zero again
place white by q six please,place white by b seven please
set green at i eight please,set green in m eight please
place blue with c eight now,place blue with j set soon
place white with y three soon,place white with o four soon
set green by j zero now,set blue by t two soon
set green by v nine soon,set blue with d eight soon
set blue in a one soon,set blue i l one soon
bin blue by m one soon,bin blue i b one soon
bin green at u zero please,place green a q three soon
lay white with f nine again,lay white with i nine again
place white in c nine soon,place white a j eight soon
bin green by b zero now,place blue with p zero now
place white in x zero now,bin white a t two soon
place green with z one again,place green with u four again
lay blue by q nine soon,y blue a g bin soon
bin blue at s zero now,bin blue a e two soon
place green with r five soon,place green with r nine soon
lay blue in d three soon,y blue a l four soon
set white at o four now,set h by y two soon
bin red at s seven soon,s blue a l nine soon
place blue with x three again,place blue i u four soon
bin red with n one soon,place white with u one soon
lay red with r eight now,set blue i a nine soon
set blue at g eight now,set blue i j eight now
bin green in a two now,bin green in q three soon
bin blue with t one again,bin blue with v six again
place blue with j five again,place blue i u four please
lay green with m nine again,e blue with i nine soon
lay red at r two please,set white a j five soon
place blue with p six now,place blue with c six soon
bin white by t eight please,bin blue i b nine please
lay red at e four please,s blue in t zero please
lay blue with y seven soon,y blue i p nine soon
set green at v seven again,set green in q seven please
lay white in k eight now,y white a e nine soon
bin red in z nine again,p blue with g six soon
place blue by v eight please,place blue i b five please
bin red with a five again,bin white with r five soon
place blue in i one soon,place blue i u four soon
lay red with s one again,set white with c six soon
