Truth,Decoded
set blue with u six please,set blue with c six please
set red in t nine soon,s white i g six soon
bin green with o four please,place blue i u two soon
bin green in n three again,place blue i c seven please
bin white at n zero please,place white i l set please
bin white in m four now,bin white at u four now
lay white by s two please,e white by c two please
lay blue with r two now,set blue i o two soon
bin white with a eight now,place blue i six again
lay green at m one again,set blue i e eight again
bin blue in r eight please,bin blue at k eight please
place red with x six now,place white with c six soon
bin red in f six please,place white i c six please
bin white at t three soon,bin white a e t soon
bin green at h two please,place blue i e three please
bin white at a two please,bin white a e h psoe
place white at q zero now,place set in u four soon
set green at i seven soon,set blue i e eight soon
place blue with x one soon,place blue with p two soon
place red in p two please,place white at c six please
place red by p eight now,place white at p eight now
place green with e seven soon,place blue with p two soon
bin white with u one soon,bin white with o t soon
lay blue in q one soon,s blue i u four soon
lay white in e seven again,y white at c six please
lay green by m four please,set blue i b four please
lay red at y five soon,set blue with m one soon
place blue by v seven soon,place blue by b six soon
bin white with u zero now,lay blue with p o plson
place blue at v three soon,place blue i h four soon
place blue by c seven again,place blue i c six please
set blue by u two please,set blue with g two soon
bin blue with m seven again,place blue i u t please
lay blue in x four now,lay blue i u four soon
set white with p three soon,set white i b bin soon
bin blue by m three again,place blue with b one please
set red at b two please,set blue i b t soon
lay red by e seven soon,e white by p five soon
bin green with o five again,place blue with v nine soon
set white with j one again,set green i o r again
bin green at a eight please,place blue i p six please
set white at b six now,set white i y six soon
set white by v three soon,set white by b two soon
lay red in y one soon,s white i y one soon
place red with q five again,place white i o bin soon
place red in c two now,place blue i u four now
set red by o five again,set white by y six again
set white by c three again,s white by b two please
place green by k seven soon,place blue at p five soon
lay white at l two now,lay white a h t soon
