Truth,Decoded
set white in b two now,set white in g two soon
set white in o zero now,set white a q two again
lay white by l eight please,s white by b nine soon
lay red in k two now,set white in t two now
bin red in l nine soon,place white in h eight soon
place blue in b nine again,place blue in p nine please
lay green at s two now,set green in q two now
lay blue in x five soon,place green i r two soon
lay blue by r zero please,set blue by k two please
bin white by t seven soon,bin blue by y six soon
lay green with g two now,blue blue in g bin soon
bin red by m seven soon,place white by b two soon
lay red in d nine soon,a white in g six soon
place red at j three again,place r in g six soon
bin red with t six please,place white with g six please
lay green in f one soon,set green in t two soon
lay white at z one soon,set white a g two soon
set white in h six now,s white i g six soon
lay green at f five soon,lay green i i five soon
set blue in t three soon,set blue i g two soon
set green at p two please,set green i g three please
place red with x seven soon,place white with g six soon
set white by v five again,set white a i eight soon
set white in o three again,set white i q six bin
bin green at h zero now,bin green in h two soon
bin green by o zero please,place green with p two please
set green in i two now,set green in j two soon
lay white with m two please,s white with b one please
lay blue by e three again,set blue by e three again
place red by j five soon,place green by g two soon
set green with x four please,set blue with q two please
set blue in g six please,set blue in g six please
bin white by n five again,bin white i m five please
set green with d zero now,set green with g two soon
place white in j two now,place white in g two again
bin blue in l two now,bin blue with q two soon
place blue by p three soon,place blue in b three soon
place white by x eight now,set white with b two soon
place white with e three again,place blue with g six soon
bin white in t zero please,bin white in c zero please
place green by r one soon,place green by y nine soon
lay blue with y six now,y blue i g bin soon
bin red with n zero now,bin blue i g two soon
set red at o zero please,set r in q three please
place white at j seven soon,place white in g six soon
set green in b eight now,s green with p six soon
bin green in g six now,place blue with g six soon
lay white in y six now,set white with g six soon
set white at v zero please,set white in g two please
set white by o eight now,set white by y eight again
