Truth,Decoded
place red with k one again,place blue with p three please
bin blue with g one soon,bin blue with u four soon
bin blue with g zero now,bin blue with p two soon
place white by k one soon,s blue by b five soon
bin green by n eight now,place blue bin p six soon
bin red with g six now,bin blue with p six psose
lay white in k nine soon,s white i t six soon
place white at x six please,a blue by l six please
set white in h eight please,set white i l six please
bin blue at z seven again,bin blue at p five please
lay green at s four please,s e i u four soon
set white in b five again,set white by b five please
set blue in m eight now,bin red at p five please
lay blue in q three again,set e i u three please
lay red at k six now,set white i s six please
place blue in u eight now,place blue with l five bin
set blue at t eight please,set blue i p five please
lay red at k seven soon,set white at l two soon
set white with v eight please,s white with p five please
place red with d seven again,place blue i p five please
bin red with t seven again,bin blue with p six please
lay red in q eight please,set white i p five please
bin red with n three again,place blue with p three please
lay white with z eight now,place blue at p five please
lay red by l one soon,set red by o four soon
place blue at c three again,place blue i m three please
lay green in l five soon,set blue i l two soon
lay red at y seven again,set green i p five please
bin green in n zero now,b blue i z bin now
set green in i five again,set r i l five please
place blue by j zero please,s blue with p five please
place red by q one again,place blue by p nine please
set green by c nine again,s green with p six please
set white by p zero please,set green by y four please
place blue at v four please,place blue with o r soon
place white by q five soon,place white by p five soon
place blue with x zero now,place blue with l three soon
place white with q eight now,place blue with p five again
bin red by m six now,bin red by b six place
bin red by t two please,bin blue with p zero set
bin white at a zero now,bin red i l seven soon
bin white in m seven again,bin red i p five soon
place red at p six please,place white at six please
lay green in l four now,s green i u four soon
set blue in t five again,set blue with p five please
set green with x two now,set e with p three again
place white with q nine soon,place blue with l three soon
place white with y four please,e white i m four soon
lay blue with l zero please,c blue with o r soon
set green by c seven soon,s blue i p nine soon
