Truth,Decoded
set green in v three again,set red with v t please
place red by x two now,lay blue i p three soon
lay green with t one soon,set white with q e soon
place red at v nine soon,place red with t nine soon
place red at p seven again,place white with c six please
set red by u eight please,set red by m nine please
lay white by z four now,set white by b t soon
set white at b seven soon,lay white with b e soon
set white by i four now,set green i y one now
bin red by g three soon,bin blue with b nine soon
lay blue by e zero now,set blue with c two soon
lay green by m three soon,s blue with b four soon
set red in a nine again,place green with c six soon
bin blue with m six please,bin blue with b four please
place blue with p nine again,bin blue with k six again
bin white by t nine again,bin white by k six soon
set white at u eight now,place white i c nine soon
set green at c two now,set red with c two soon
set blue at t six now,set blue with c six soon
place blue with x two please,place blue with b three soon
place green at q nine again,set green with v nine again
lay red with z four please,lay blue with q o soon
lay red at y six please,set red i b six please
set white at i three again,set white at t nine soon
place blue in b eight please,place blue with b five please
place red with d five soon,place blue with b four soon
lay red in q seven soon,set red i q t soon
lay green at f four now,set red i q t soon
place white by d nine again,place white with s six again
lay green by m five again,set green with p five please
set white by c zero now,place white by b six soon
place green at d eight now,place blue i t six again
bin red in f five soon,place blue i m four soon
place white in x three again,place white at c five soon
lay white by z five soon,s white by b five soon
bin blue at s three again,set blue i q five please
set green at c three soon,set blue i d t soon
set red with o seven soon,lay blue with q o soon
bin green at t eight now,place blue i six again
bin green at a seven soon,five blue with i six soon
lay red by e nine again,set red with s six soon
place green at e zero please,place blue with z six soon
bin green with u seven soon,place blue with o soon
bin green at n seven again,place green i t six soon
bin green in t six please,place blue at c six soon
bin white by a seven again,bin white by b six psose
lay white by s one soon,set white by b one soon
bin green with o two now,place blue with u t soon
place red in i eight please,place white i k nine please
place green at y two please,place green i b one please
