Truth,Decoded
set blue with u four now,lay r i x five soon
bin blue at f four please,bin bin i x five soon
bin blue in z one soon,bin bin i x five soon
set blue by h two now,lay r i x five soon
place blue in o five soon,lay e i x five soon
bin green by h five soon,lay e i x five soon
set blue with b three soon,bin e i x five soon
bin green with i one again,bin e i n five soon
lay white in e six please,lay r i x five soon
lay white at l five again,lay r i y five soon
lay green in f zero now,lay r i y five soon
bin white by n four please,bin e i x five soon
place green by r two please,bin e i x five soon
set green by c eight please,lay r i y five soon
set white with c five soon,bin r i y five soon
bin red with t five soon,bin e i x five soon
set red in t eight now,lay r i x five soon
set red at u two now,lay r i x five soon
lay green in r eight now,lay r i five bin
lay red at e five again,lay r i y five soon
place red with x eight please,lay r i x five soon
bin white by a five soon,bin bin i x five soon
lay green in f two please,lay r i x five soon
place blue in v one again,bin e i n five soon
bin red by t one soon,bin r i x five soon
lay blue in d five again,lay r i y five soon
set red with c zero please,bin e i x five soon
lay green at s three soon,lay r i x five soon
set red with b eight now,lay r i x five soon
bin red in s three soon,bin r i x five soon
set blue in a two please,bin e i x five soon
bin blue with m four now,bin bin i x five soon
lay red in y two please,lay r i x five soon
bin green at a nine again,bin r i y five soon
bin white by g nine soon,bin r i y five soon
place red in v seven again,lay r i y five soon
set blue at h one again,lay r i x five soon
bin white with n six now,bin e i five soon
place green in q five again,bin e i y five soon
bin green with b six please,bin e i y five soon
lay green by g one again,lay r i y five soon
place green in k one again,bin r i x five soon
bin green with u six now,bin e i y five soon
set blue with o two please,lay e i y five soon
lay blue with y nine again,bin blue i x five soon
set red by u six now,lay r i y five soon
bin blue by z eight now,bin bin i five bin
set white in u five soon,lay r i x five soon
lay red with f two please,lay e i x five soon
lay green with m seven soon,lay e i x five soon
