Truth,Decoded
place red with k one again,lay r in five one
bin blue with g one soon,lay r i five one
bin blue with g zero now,lay r i five one
place white by k one soon,lay r i five one
bin green by n eight now,lay r in five one
bin red with g six now,lay r in five one
lay white in k nine soon,lay r i five one
place white at x six please,lay r i five one
set white in h eight please,lay r i five one
bin blue at z seven again,lay r in five one
lay green at s four please,lay r i five one
set white in b five again,lay r in five one
set blue in m eight now,lay r i five one
lay blue in q three again,lay r in e one
lay red at k six now,lay r i five one
place blue in u eight now,lay r i five one
set blue at t eight please,lay r i five one
lay red at k seven soon,lay r i five one
set white with v eight please,lay r i five one
place red with d seven again,lay r i five one
bin red with t seven again,lay r in five one
lay red in q eight please,lay r i five one
bin red with n three again,lay r i five one
lay white with z eight now,lay r i five one
lay red by l one soon,lay r i five one
place blue at c three again,lay r i five one
lay green in l five soon,lay r i five one
lay red at y seven again,lay r in five one
bin green in n zero now,lay r i five one
set green in i five again,lay r i five one
place blue by j zero please,lay r in five one
place red by q one again,lay r i five one
set green by c nine again,lay r i five one
set white by p zero please,lay r i five one
place blue at v four please,lay r i five one
place white by q five soon,lay r i five one
place blue with x zero now,lay r in five one
place white with q eight now,lay r i five one
bin red by m six now,lay r i five one
bin red by t two please,lay r in five one
bin white at a zero now,lay r i five one
bin white in m seven again,lay r i five one
place red at p six please,lay r i five one
lay green in l four now,lay r i five one
set blue in t five again,lay r in five one
set green with x two now,lay r i five one
place white with q nine soon,lay r in five one
place white with y four please,lay r i five one
lay blue with l zero please,lay r i five one
set green by c seven soon,lay r i five one
