Truth,Decoded
bin green with h eight now,place blue in t six soon
lay green with a one again,set e with u one again
place green in d seven again,place green a c six soon
set green at p three again,s green with v six please
bin white with h three soon,b white a h nine soon
set blue in t two now,set blue i g two now
bin blue by s six please,bin blue a c six please
set red with v zero now,set blue with v two now
place blue by c six please,place blue a c six please
set red in n four now,set green i o four soon
bin white at t five again,bin white a v five please
lay white at r eight please,set white at i eight please
lay white at r nine again,set white in i eight again
lay green in z five again,lay green with v two again
bin white in g three again,set green with j three please
bin white by n two now,bin white by q two now
bin green in n one soon,place green with c one soon
bin blue in l three soon,bin blue at g two soon
bin white in g one soon,bin white a g one soon
lay green by s eight please,set blue by m six please
lay green at l eight now,set green with k nine soon
bin green by h four now,place e with m four now
bin blue at z four now,bin blue i j two soon
bin white in m five soon,bin white at f five soon
set red in u one again,set white a g nine soon
set blue with u five soon,set blue with e one soon
bin red with a three soon,bin white i o one soon
set green in c one again,set red in c two please
lay white by l six now,place white a j six now
set white by o nine soon,set white by y in soon
place white in p seven soon,set white i b nine soon
set blue by h four please,s blue i u one please
set red by i zero please,set red by b bin soon
set red at n nine soon,s red in m nine now
place white in x one soon,place white a e one soon
set white at i two please,bin green i i nine please
place red in v four now,place white i u four now
lay blue at d eight please,lay blue in m set please
place green in d six please,place green a c six please
bin green by n nine soon,bin blue i p nine soon
place blue in i zero now,place blue in u r soon
bin blue by f eight please,bin red in m six please
lay white at z zero now,e white a g two soon
set white in h nine again,set white a x nine again
lay green at z six now,lay green in c six soon
place red by j seven again,place white at p six please
place red with q four please,place white with u r soon
lay blue at y zero please,set blue in h nine soon
lay green by s nine again,set blue i d six again
set green by j one soon,set blue with e one soon
