Truth,Decoded
bin red with g seven soon,place blue with c six soon
set white by c one soon,set white by u o soon
lay blue at d six now,set blue with c six soon
lay blue at q five soon,set blue by b three soon
place green by y seven again,place green by y six please
lay red by r seven again,set white by y set please
set blue with u seven again,set blue with u t please
lay red at r one soon,set red i u o soon
set red in h three again,place white with c six soon
lay blue by k seven again,e blue by b six please
bin green at n five soon,place red i m t soon
place blue with p eight please,place blue with c six please
place blue by c four now,place blue a u o soon
lay green at z seven soon,set green at c six soon
set red at h four now,set green in u r soon
bin blue in f one again,bin blue i c t please
set red in h one soon,bin white i l one soon
set red with v one soon,lay blue with o t soon
place red in i nine again,bin white i n six please
bin blue at z six please,bin blue in c six please
bin blue in z zero now,bin blue with p set soon
set red in n seven again,set white i c six please
bin white with a nine soon,bin white with p nine soon
bin red at m three soon,bin white a m o soon
set white in o one soon,set white i u o soon
lay red by r six please,place white by y six please
set blue by u three again,set blue by c six please
set red at b three again,set red with p six please
lay green with g three soon,a blue with q t soon
set white with c six please,s white with c six please
place green with r four now,place blue i m four again
bin red in f seven again,place blue i c six please
bin green at t nine soon,place bin a c two soon
bin red at g zero please,s blue i c six please
place red in p one soon,place white i b o soon
set blue with o one soon,s blue i u four soon
lay white by l nine again,place blue a c six eaoe
set green at p one soon,set green with u r soon
place blue by j one again,place blue by y six please
lay green in z two now,s green i u two soon
set green with d three again,s blue with c six again
set blue by b one again,set green i u four please
place white by d eight please,place white by b six please
place green in q three soon,place blue i c t soon
lay white at r six now,set red at t six soon
place white by y one again,place white by y one please
bin green in a five again,place blue i c six please
bin green at a six now,place blue i c six soon
place red at v eight now,place blue with c six again
bin white with b zero please,place white i b six soon
