Truth,Decoded
set green in v three again,lay bin i five one
place red by x two now,lay bin i five one
lay green with t one soon,lay bin i five one
place red at v nine soon,lay bin i five now
place red at p seven again,lay bin i five one
set red by u eight please,lay bin i five one
lay white by z four now,lay bin i five now
set white at b seven soon,lay bin i five now
set white by i four now,lay bin i five one
bin red by g three soon,lay bin i five now
lay blue by e zero now,lay bin i five one
lay green by m three soon,lay bin i five one
set red in a nine again,lay bin i five one
bin blue with m six please,lay bin i five one
place blue with p nine again,lay bin i five one
bin white by t nine again,lay bin i five one
set white at u eight now,lay bin i five now
set green at c two now,lay bin i five one
set blue at t six now,lay bin i five one
place blue with x two please,lay bin i five one
place green at q nine again,lay bin i five one
lay red with z four please,lay bin i five one
lay red at y six please,lay bin i now now
set white at i three again,lay bin i five one
place blue in b eight please,lay bin i five one
place red with d five soon,lay bin i five one
lay red in q seven soon,lay bin i five one
lay green at f four now,lay bin i five now
place white by d nine again,lay bin i five one
lay green by m five again,lay bin i now now
set white by c zero now,lay bin i five one
place green at d eight now,lay bin i five one
bin red in f five soon,lay bin i five one
place white in x three again,lay bin i five one
lay white by z five soon,lay bin i five one
bin blue at s three again,lay bin i five one
set green at c three soon,lay bin i five one
set red with o seven soon,lay bin i five one
bin green at t eight now,lay bin i five one
bin green at a seven soon,lay bin i five one
lay red by e nine again,lay bin i five one
place green at e zero please,lay bin i five one
bin green with u seven soon,lay bin i five one
bin green at n seven again,lay bin i five now
bin green in t six please,lay bin i five one
bin white by a seven again,lay bin i five one
lay white by s one soon,lay bin i five now
bin green with o two now,lay bin i five one
place red in i eight please,lay bin i five one
place green at y two please,lay bin i five one
