Truth,Decoded
bin white with n eight please,bin bin i five again
place blue at c one soon,bin r i five again
set white with i eight now,bin r i five again
lay blue with r three soon,lay r i five again
place red at j one soon,lay r i five again
place green in k zero please,bin r i five again
set red in a seven soon,bin r i five again
bin blue in f zero please,bin r i five again
bin green at n six please,bin r i five again
set blue by h five again,bin r i five again
place white by q six please,bin r i five again
set green at i eight please,lay r i five again
place blue with c eight now,bin r i bin again
place white with y three soon,bin r i five again
set green by j zero now,lay r i five again
set green by v nine soon,lay r i five again
set blue in a one soon,lay r i five again
bin blue by m one soon,bin r i five again
bin green at u zero please,bin r i five again
lay white with f nine again,bin r i five again
place white in c nine soon,lay r i five again
bin green by b zero now,bin r i five again
place white in x zero now,bin r i five again
place green with z one again,bin bin i five again
lay blue by q nine soon,lay r i five again
bin blue at s zero now,bin r i five again
place green with r five soon,bin r i five again
lay blue in d three soon,lay r i five again
set white at o four now,bin r i five again
bin red at s seven soon,bin r i five again
place blue with x three again,bin r i five again
bin red with n one soon,bin r i five again
lay red with r eight now,lay r i bin again
set blue at g eight now,lay r i bin again
bin green in a two now,bin r i five again
bin blue with t one again,bin r i five again
place blue with j five again,bin r i five again
lay green with m nine again,lay r i five again
lay red at r two please,lay r i five again
place blue with p six now,lay r i five again
bin white by t eight please,bin r i five again
lay red at e four please,bin r i five again
lay blue with y seven soon,lay r i five again
set green at v seven again,bin r i five again
lay white in k eight now,lay r i five again
bin red in z nine again,bin r i bin again
place blue by v eight please,lay r i five again
bin red with a five again,bin bin i five again
place blue in i one soon,bin bin i five again
lay red with s one again,lay r i five again
