Truth,Decoded
lay red at e two now,set white i five soon
set red with i two now,set green with o three soon
bin blue at l eight please,lay blue with five please
lay green in s zero please,place green i six please
place white in p nine again,place blue i six please
lay red at k eight please,set red i l five please
lay red by z one again,c red i nine please
set green in o eight please,set red i p five soon
set green with p eight now,set blue with six easn
lay blue with k eight now,set blue with six again
bin red in z six now,bin white i six again
bin red in s five again,bin blue i p five please
bin white by g eight now,place white by s six soon
set green with j four now,place blue with p two soon
place white with r zero please,place blue with b three set
lay blue by y three soon,set blue i b five soon
place green by e three soon,place blue with b two soon
lay blue in x six please,lay bin i six please
lay red with l five soon,lay white with b three soon
bin blue with m five soon,bin blue with o four soon
set green at v five soon,set green i q four soon
set white with p four please,set blue with u two set
bin green with b seven again,place blue with b six please
set green in v zero now,set blue with u two soon
lay white at z three again,s white i six please
bin red at f nine soon,place blue i b five soon
bin white with h two now,bin blue with p five soon
set blue by a eight now,bin blue in six please
lay white with s four now,set set with o one now
set green with j six please,set e with z six please
bin white at a one soon,lay blue i b four soon
lay green in z three soon,s green in o two soon
lay blue with y eight please,bin blue with u one again
bin green at h one soon,place blue i t soon
place green by y four now,lay blue i b four now
lay red in k four please,c white i p two soon
set blue at n five again,set blue i b five please
bin red at m two now,bin white i o four soon
set red with b nine soon,set white with six set
place white at j eight please,place blue i six please
lay blue with r four please,set blue with y four soon
place blue in u nine soon,place blue i s five soon
set red by b seven again,place red with p nine please
set white in u six please,set green in p five please
place green by y six please,place blue with b five please
bin green by b two please,place blue with p three please
place green at k four please,place blue i b two soon
lay blue in d four please,place red with o two soon
set blue by n nine again,s blue in six please
set green with d one soon,set blue with o two soon
