Truth,Decoded
place blue at i six please,place blue i c six please
place blue with d one again,place blue with u five please
set red in a six now,set r i six please
lay blue at x nine soon,place blue i five soon
place blue at o nine soon,place blue i q five now
set white with v nine again,set white with s six please
lay white at e eight now,s r at i five bin
bin red by t zero now,bin blue i c six please
lay red by r five soon,set blue i q nine now
set green at v six please,set blue i c five please
bin white with n seven soon,bin blue with five soon
place blue in o six please,place blue with b five soon
bin white with h four please,a blue with u four soon
place blue by p two now,place blue with c five now
lay white in r two now,set h i c three soon
place red with x nine again,place bin i six please
place red in c three soon,bin blue i six please
lay blue with e four now,set e with u three soon
place green with l three again,place blue with u five please
bin red by m eight please,bin blue i i nine again
set blue with b four please,set e with u five please
bin blue in e nine soon,bin blue i five soon
bin blue at f five again,bin blue i i five please
lay white by z six please,a e i c five please
lay white in r three soon,set h i q five soon
lay red with f one soon,a blue with o four soon
place green at y three again,set blue i b six please
place blue by i eight now,place blue with six please
lay white in r four please,bin white i c five please
set blue by n seven soon,set e i s five soon
lay white in y nine again,s r i five please
set green in v one soon,place e with o four soon
bin white by a six please,bin white i six please
place white at d two now,place bin i c five now
place green in d five soon,place r i q four soon
set blue at n two now,place blue i b five soon
place white in p six now,place bin i six again
place green at k three soon,place blue i b five soon
place green at y one soon,place blue with o four soon
place green in j eight now,place blue i i five now
lay blue with r five again,place blue i c five easn
lay white with m zero now,place e with u three soon
lay green at s five again,set blue i c six please
lay red with l seven again,y blue with c six please
bin red with a two now,bin blue with c three soon
set blue by u one soon,set blue i o four soon
lay red at r zero now,blue blue i i five again
lay red in e zero please,place e i six please
place blue with j two now,place blue i u nine now
set white with v seven soon,a blue with o four soon
