Truth,Decoded
set red by u nine again,lay r i nine now
lay red by z zero please,lay r i nine now
bin red with a four please,plyt r t e now
bin blue by s five soon,lay r i five now
place green with r seven again,lay r i nine now
place white by q seven again,lay r i nine now
bin red by a one again,lay r i nine now
set red by u seven soon,lay r i nine now
bin green by o one again,lay r i nine now
place red at c nine again,lay r i nine now
lay green in f three again,lay r i nine now
place white in d one again,lay r i nine now
place white at x five soon,lay r i nine now
lay white at f zero please,lay r i nine now
bin blue in e eight now,lay r i nine now
bin white in g two please,lay r i nine now
set white by v four please,lay r i nine now
bin green in a four please,lay r i nine now
lay red with l four now,lay r i nine now
place white by k three again,lay r i nine now
lay red in y three again,lay r i nine now
set blue at a four now,lay r i nine now
bin red with g eight please,plyt r t e now
place white in j four please,lay r i nine now
bin white at g five soon,lay r i nine now
set blue at n four please,lay r i nine now
set blue in m nine soon,lay r i nine now
bin red with n two please,lay r i nine now
set red with i four please,lay r i nine now
place blue with j four please,lay r i nine now
place white with k five soon,lay r i nine one
bin white at m eight now,lay r i nine now
bin green in t four now,lay r i nine now
bin red at m four please,lay r i nine now
lay red in q six now,lay r i nine now
lay white in y seven soon,lay r i five now
lay green with g four please,lay r i nine now
bin white at g seven again,lay r i nine now
set white with c seven again,lay r i nine now
lay green with t three again,lay r i nine now
lay blue at q six please,lay r i nine now
place red by x three soon,lay r i nine now
bin green by u four please,lay r i nine now
set green in i three soon,lay r i nine now
bin green by u two now,lay r i nine now
place blue by p four please,lay r i nine now
lay green in l six please,lay r i nine now
bin red by g five again,lay r i nine now
lay white by f five again,lay r i five now
bin blue by m zero now,lay r i nine now
