Truth,Decoded
place white with e two please,place white with v two peoe
lay green by s six now,set blue with p six soon
lay green at z eight please,s white i c six please
lay red by r four now,lay white by u two soon
set green by p five soon,set blue with p nine soon
lay white with f six now,set blue with v six soon
lay red in e one again,set white at t one soon
set red at b zero now,set r with b two now
set red in a eight please,set white at k eight please
lay white in l one again,set white at y one soon
place white with k seven again,place white with v six please
set white by v two now,set white bin g two now
lay green at l nine soon,set green at k nine soon
lay red in k five again,set white i g six soon
lay blue in q zero now,set blue i u two soon
place red in i six now,place white i g six soon
place blue in b six now,place blue with p six soon
place white with e zero now,place white with c two now
set white with v six now,set white with g six soon
place blue by v six now,place blue i t six now
set blue with o three again,s blue with g six soon
bin green in g nine again,place blue i i eight sase
set blue with o zero now,s blue with u two soon
place red with d four now,place white with u four now
set green with p nine soon,set blue with g bin soon
bin green at n four now,place green i u four now
lay red in d eight now,s white at t six soon
set blue at t seven soon,set blue at c two soon
set blue at a five soon,set blue with e two soon
set green with x three soon,set blue with g one soon
place red with d six please,place white with c six please
place green with e eight please,place e with v bin please
lay green by g zero please,set green with b two please
place blue at i five soon,place white i r two soon
lay blue with e seven again,s blue at u four easn
lay white in r five again,set white at r five again
place blue in i two please,place blue i q two soon
set red at u four please,set h i u one soon
place white at q two please,place white i q two please
place green at e one again,place green with c two soon
bin green with b five soon,place blue with g three soon
lay blue by y four please,set blue by y four soon
bin white with b one again,bin white with u t please
set green by p four now,set green with u four now
bin red in l eight now,bin white i g six soon
set red with i three soon,set blue with g nine soon
set green at i nine again,set blue i k eight soon
set blue in g four now,set blue with u two now
place blue at c zero now,place blue with g two soon
place green in x eight please,place r at d six please
