Truth,Decoded
set blue with u four now,set blue i u four now
bin blue at f four please,place blue i u one please
bin blue in z one soon,place blue with b four soon
set blue by h two now,set blue by h two soon
place blue in o five soon,place blue i y one soon
bin green by h five soon,place blue by e nine soon
set blue with b three soon,bin blue with q one soon
bin green with i one again,place blue with y one again
lay white in e six please,set white at c set please
lay white at l five again,a white at y six soon
lay green in f zero now,set green with q two now
bin white by n four please,place white by m one please
place green by r two please,place blue at p two soon
set green by c eight please,set blue with p set please
set white with c five soon,s blue by g h soon
bin red with t five soon,place blue with e three soon
set red in t eight now,set white i t six soon
set red at u two now,set white at u four soon
lay green in r eight now,set green with e nine again
lay red at e five again,set white at c seven please
place red with x eight please,place blue i l three please
bin white by a five soon,bin white by p five soon
lay green in f two please,lay h i u one please
place blue in v one again,place blue with q one please
bin red by t one soon,blue red by p four soon
lay blue in d five again,lay blue at v seven please
set red with c zero please,s blue with u two soon
lay green at s three soon,s green i e one soon
set red with b eight now,set blue i p nine soon
bin red in s three soon,bin white at q t soon
set blue in a two please,bin blue i e nine soon
bin blue with m four now,bin blue i u four now
lay red in y two please,place white i p one please
bin green at a nine again,place blue i k eight again
bin white by g nine soon,bin white by g nine soon
place red in v seven again,place white i p seven please
set blue at h one again,set blue i y nine please
bin white with n six now,bin white with p six soon
place green in q five again,place green i q three please
bin green with b six please,place blue with p three please
lay green by g one again,s blue by c two again
place green in k one again,place green i e nine soon
bin green with u six now,place blue with u six soon
set blue with o two please,set blue with q three please
lay blue with y nine again,place blue with m one please
set red by u six now,set blue by g h soon
bin blue by z eight now,bin blue by e nine now
set white in u five soon,set white by q two soon
lay red with f two please,set blue with q one soon
lay green with m seven soon,set blue with p four soon
