Truth,Decoded
bin red in z eight please,s blue at d six please
place white at q one soon,place white a q one soon
set green in c zero please,set green i t set please
lay blue at x eight now,set blue at x nine soon
bin green with b four now,place blue with u four now
set white by i six please,s blue i p nine please
place red by d one soon,place h with c six soon
place green in q four please,place blue i q four soon
bin red by g two now,set blue by p two soon
lay white with m three again,set h with v six please
set green by x one again,s blue with c seven please
place blue at v five again,place blue with r zero again
lay red with z three soon,lay h with o nine soon
place red with j eight now,place white with k nine soon
place blue by v nine again,place blue i p eight again
lay white at l three soon,set green a e nine soon
place white with k four now,place white with u four now
lay red with s zero please,place white i d three soon
bin blue with g three again,bin blue i u six please
set blue in n one again,s blue a k one again
place red in c five again,place white a t seven again
lay white by f four please,set white by u four please
bin red with t four now,place h with u four now
set white at b nine again,set red i c six please
lay red with r nine soon,s white with k nine soon
place white by d seven soon,place white by p six soon
set blue at h zero please,set blue a e nine soon
place white in c eight now,place r a s eight again
bin white by n three soon,bin white by p nine soon
bin green with i zero please,place r with h nine soon
bin green at h three again,place green a j two again
lay white by f two now,set r i p four soon
set white by p one again,set green by y nine soon
bin white by h one again,bin white i h r soon
place red in c four please,place white a u four please
place red at p four now,place h i u four now
place white with y five again,place white with y five please
bin blue at l six now,bin blue a g six soon
set red with o eight please,a blue with p one please
lay green with a zero please,s red with c three please
place green by e five again,place green with p five please
bin blue in r seven soon,bin blue a g bin soon
bin blue in z three again,bin blue at d six please
place blue with j three soon,c blue with m one soon
set green in o six now,set green i j h soon
set white at i zero now,set red in j two soon
bin green by h six please,place red by c seven please
bin blue in l five again,bin blue a r five please
lay green by m two now,set red with m two now
place green by k nine again,place green with p with please
