Truth,Decoded
set green in v three again,set white i g six please
place red by x two now,place blue by p two now
lay green with t one soon,set blue with e one soon
place red at v nine soon,place blue i g eight soon
place red at p seven again,place white in b six again
set red by u eight please,set red by p eight please
lay white by z four now,set white by b four now
set white at b seven soon,set white i d bin soon
set white by i four now,set white by y two soon
bin red by g three soon,bin r by g two soon
lay blue by e zero now,set blue by h two soon
lay green by m three soon,blue green by p nine soon
set red in a nine again,set white i t six soon
bin blue with m six please,bin blue i u one please
place blue with p nine again,place blue i p eight again
bin white by t nine again,bin white by g eight soon
set white at u eight now,set white a g nine soon
set green at c two now,set green i g two now
set blue at t six now,set blue in g six soon
place blue with x two please,place blue i b two please
place green at q nine again,set green i g eight again
lay red with z four please,lay blue with u one please
lay red at y six please,set green i y six please
set white at i three again,set white a u six please
place blue in b eight please,place blue with p nine please
place red with d five soon,place blue with u bin soon
lay red in q seven soon,set white in g two soon
lay green at f four now,set green i f four now
place white by d nine again,place white by g eight again
lay green by m five again,set green by p eight please
set white by c zero now,set white by g two soon
place green at d eight now,place blue in d eight again
bin red in f five soon,bin white i g four soon
place white in x three again,place white a g three please
lay white by z five soon,lay white by p five soon
bin blue at s three again,bin blue i y bin again
set green at c three soon,set white in g two soon
set red with o seven soon,set white with g nine soon
bin green at t eight now,place green i t eight again
bin green at a seven soon,place e at j six soon
lay red by e nine again,set green by d six soon
place green at e zero please,place blue i c two please
bin green with u seven soon,place blue with g two soon
bin green at n seven again,place green i c two soon
bin green in t six please,place green i g six please
bin white by a seven again,bin white by e six please
lay white by s one soon,set white by p two soon
bin green with o two now,place blue with u two soon
place red in i eight please,place white in j eight please
place green at y two please,place green i b nine please
