Truth,Decoded
lay red by y nine soon,set blue i q five now
lay red with z two now,place blue with q four soon
lay green in z four please,set e i y five now
lay red by l zero now,set white i q five soon
lay white in e five soon,set r i q four now
place blue at i seven again,place blue i five again
set green in i four please,set e i q five soon
set green at v four now,a blue with t five now
lay blue by q eight now,lay blue with t five now
place red with k zero please,set blue with five soon
lay red at r three again,set r i q four now
set red with v three again,a blue with t five again
set green by p six please,set blue with six please
place red by x four please,place blue i q five soon
set blue by a nine soon,set blue with y five now
bin green by b three again,bin blue with four please
lay red with z five again,set white with y five again
bin white in g zero now,bin h i q four now
lay blue in j eight please,set blue i q five again
set green by c six now,place r i six please
bin blue with s eight now,bin blue with five again
bin green in g eight please,bin blue i six again
set blue in t four please,bin blue with four soon
bin white at g four now,bin white i q five now
place red at x zero please,p r i q five soon
set red with o six now,set blue with five now
place green in x seven soon,bin r i five now
set green with x five again,set blue with t five soon
bin red by g four please,bin blue i u five soon
lay red with f three again,place blue with five soon
set blue at g nine soon,p blue with five now
bin blue at f two now,place blue with u five soon
lay green at f seven again,set r i five again
set blue in a zero now,set blue i q four soon
lay red in y zero now,bin blue with t five soon
lay blue by k six please,place white with five again
place green by r three again,a blue i y five please
place blue at p one again,place blue with five now
lay green at m zero please,set e i q five please
set green in b nine soon,set e i five now
place white in p eight please,bin r with six again
set white at i one soon,lay r i o four soon
set red at h six please,set r i l five again
lay blue with k nine soon,set blue i q five now
place green by r zero now,place blue i q five soon
lay red with f zero now,a blue i q five now
lay white in y eight please,set e i y five again
set red at u three soon,set e i q four soon
set white by i five soon,s white i q four soon
set red at n eight now,set r i five again
