Truth,Decoded
bin green with h eight now,lay r i p five now
lay green with a one again,lay r i five now
place green in d seven again,lay r i p five now
set green at p three again,lay r i five now
bin white with h three soon,lay r i five now
set blue in t two now,lay r i five now
bin blue by s six please,lay r i p five now
set red with v zero now,lay r i nine now
place blue by c six please,lay r i five now
set red in n four now,lay r i p five now
bin white at t five again,lay r i five now
lay white at r eight please,lay r i five now
lay white at r nine again,lay r i nine now
lay green in z five again,lay r i p five now
bin white in g three again,lay r i five now
bin white by n two now,lay r i nine now
bin green in n one soon,lay r i five now
bin blue in l three soon,lay r i five now
bin white in g one soon,lay r i five now
lay green by s eight please,lay r i five now
lay green at l eight now,lay r i five now
bin green by h four now,lay r i five now
bin blue at z four now,lay r i p five now
bin white in m five soon,lay r i p five now
set red in u one again,lay r i five now
set blue with u five soon,lay r i five now
bin red with a three soon,lay r i five now
set green in c one again,lay r i p five now
lay white by l six now,lay r i five now
set white by o nine soon,lay r i five now
place white in p seven soon,lay r i p five now
set blue by h four please,set r at set now
set red by i zero please,lay r i five now
set red at n nine soon,set r bin set now
place white in x one soon,lay r i p five now
set white at i two please,lay r i five now
place red in v four now,lay r i five now
lay blue at d eight please,lay r i five now
place green in d six please,lay r i p five now
bin green by n nine soon,lay r i five now
place blue in i zero now,lay r i five now
bin blue by f eight please,lay r i p five now
lay white at z zero now,lay r i five now
set white in h nine again,lay r i five now
lay green at z six now,lay r i five now
place red by j seven again,lay r i five now
place red with q four please,lay r i five now
lay blue at y zero please,lay r i five now
lay green by s nine again,lay r i five now
set green by j one soon,lay r i p five now
