Truth,Decoded
lay red with f zero now,place blue with b five soon
lay white in y eight please,set white i b six please
set red at u three soon,set r with o three soon
set white by i five soon,set white at b five soon
set red at n eight now,set r i s six please
lay green with t zero now,place r i s bin please
place blue in i three again,place blue i y six please
place red by d three again,place blue i six please
lay red by y eight now,set white i k five now
place white at x seven again,place r i s six please
bin white in t one again,lay blue by l five please
place red in p three again,place blue with b six please
place white by k zero now,place blue with six set
bin white at t two now,bin blue i z five soon
place red in i seven soon,place white i z two soon
bin white in m six please,place blue i six please
bin red at g one again,place blue i six please
place green with l one soon,place blue with q three soon
bin green with u nine again,place blue with v bin please
set blue in g seven again,set blue i six please
bin green in t seven again,place blue with six please
lay blue in x seven again,set blue with six please
lay blue by k five soon,set blue with five now
place blue in o four now,place blue with o three now
lay green by f eight now,blue blue i six please
lay green by f nine soon,s blue with o three soon
place white by d six now,place white at s six again
set red at b one soon,set r i o three soon
lay blue with l one again,set blue with z five please
lay green in s one again,set e i s six soon
bin red in f four now,place blue with o five again
place red in p zero now,place blue with bin please
set white with p five again,set set with six please
set green by v eight now,set red i l five please
lay blue at d seven soon,set blue with bin soon
lay blue at q seven again,set blue with v zero please
lay green at f six please,set r i s six please
lay blue at k one soon,bin blue with o three soon
set green at c five again,set blue i s six please
lay red at y four now,place green i o three again
lay blue by e one soon,s r i z zero soon
bin red by m nine again,bin blue bin s six please
bin blue at f three soon,place blue with o two soon
bin blue in r nine again,bin blue at six please
place red by x five again,place blue i six please
set white by c two please,set white i z five set
set green by x zero please,set e with p five soon
bin green with u eight please,place blue with v five please
lay white at f one again,set white i l five please
bin blue at s one soon,bin blue i o two soon
