Truth,Decoded
place red with k one again,place blue with g one please
bin blue with g one soon,bin blue i u two soon
bin blue with g zero now,bin blue i g two soon
place white by k one soon,place white by y four soon
bin green by n eight now,place blue with p eight soon
bin red with g six now,bin blue at g six soon
lay white in k nine soon,s white at t eight soon
place white at x six please,place white i y six please
set white in h eight please,set white at j eight please
bin blue at z seven again,bin blue in g six soon
lay green at s four please,s blue i h four soon
set white in b five again,set white i v five please
set blue in m eight now,s blue in d six soon
lay blue in q three again,set blue i u two again
lay red at k six now,set white a t six soon
place blue in u eight now,place blue i g eight soon
set blue at t eight please,set blue i d six please
lay red at k seven soon,set white a g two soon
set white with v eight please,set white with v eight please
place red with d seven again,place white with v six soon
bin red with t seven again,bin blue with g six soon
lay red in q eight please,place white in g six please
bin red with n three again,place white with r three soon
lay white with z eight now,bin white with d six soon
lay red by l one soon,set green by y two soon
place blue at c three again,place blue i y three please
lay green in l five soon,set blue i g three soon
lay red at y seven again,set white i y two please
bin green in n zero now,place white i g two soon
set green in i five again,set blue i h five soon
place blue by j zero please,place blue i g two please
place red by q one again,place blue by y one please
set green by c nine again,place green with g six soon
set white by p zero please,s white by y two please
place blue at v four please,place blue with u four please
place white by q five soon,place white i b two soon
place blue with x zero now,place blue i q two soon
place white with q eight now,place white with g five now
bin red by m six now,bin white by b six soon
bin red by t two please,bin blue by d two please
bin white at a zero now,bin white a h two soon
bin white in m seven again,bin white a v four soon
place red at p six please,place white i p six please
lay green in l four now,set white i u four now
set blue in t five again,set blue i j five please
set green with x two now,set blue with g two now
place white with q nine soon,place blue i g bin soon
place white with y four please,place white with u three please
lay blue with l zero please,set blue i q two please
set green by c seven soon,set blue by t six soon
