Truth,Decoded
bin blue at z five soon,bin blue i g six soon
place white at j nine again,place white in x six soon
lay white by f three soon,set white i b bin soon
set blue by n six now,set blue by g six soon
place white with r one again,place white with v one please
set red by o three soon,set blue by b nine soon
set white in u seven again,place blue in u five soon
set blue with h eight please,set blue i e six please
place red at x one again,place green i c one please
place white at j six now,place white in g six soon
place green at q six now,place green in g six again
lay blue at y one again,set blue by y nine soon
lay blue by y five again,set blue with y five please
place blue at i four now,place blue in u four soon
set red in n six please,set blue i c six please
bin red by t three again,place white by c six please
bin blue in l four please,bin blue with h four soon
bin red at s six now,bin blue in t six soon
place blue with p seven soon,place blue with b nine soon
lay white at r seven soon,set white by y bin soon
bin red at m five again,bin blue a n nine please
set red in u zero please,set blue i q three soon
set white in o two please,set white in o t soon
place green at k two now,place green in g one soon
place white by k two please,place white by b seven please
set white at o six please,lay green in e six soon
place blue by c five soon,s blue i b three soon
bin blue at l nine again,bin blue i i six soon
set white with c four now,set white with q t soon
set white with i nine soon,set white with y nine soon
place green by k six now,place blue with c six soon
bin blue with g two please,bin blue with g six soon
bin green in n two please,blue blue with g set soon
bin blue in r six now,bin blue i g six soon
bin green by u three soon,place green i g two soon
set white with j zero please,set blue with e two soon
set red with o nine again,set blue with x six again
bin red in m zero please,set blue i b nine pesose
place green with l zero now,place blue with u r soon
lay white by l seven soon,set white by b nine soon
set green with q zero please,s blue with u two soon
set red by o two now,set blue by o two soon
lay red by l two please,lay blue by o r soon
bin white at t four please,bin blue in g one soon
set red at h five soon,set blue i e three soon
place green with r six please,place blue with e five please
set white at v one again,s e in q one please
set blue with b two now,set blue with q two soon
bin blue by f nine again,bin blue with y nine please
set red by h nine soon,bin blue i g three soon
