Truth,Decoded
place red at p five soon,lay e n one n
set red by b six please,lay e i n
set blue in a three again,lay e one n
set red at u five again,lay e n i n
bin green by u five again,lay e i n
place green in x nine again,lay e n one n
bin blue by m two please,lay e i n
set red by o four please,lay e n n n
lay blue at k three again,lay e n one n
place white with e one soon,lay e one n
bin white by a four now,lay e one n
lay white with z nine soon,lay e n one n
lay blue at k zero now,lay e one n
lay blue in j six now,lay e n one n
set red at h seven again,lay e n one n
place white at d three soon,lay e one n
bin white in s nine soon,lay e one n
place blue in b seven soon,lay e i n
set red in h zero now,lay e one n
lay white with s seven again,lay e n one n
bin red with g nine again,lay e one n
set green with j seven again,lay e one n
set blue with h nine again,lay e i n
set green by j three again,lay e n one n
set white with p two now,lay e n one n
place white in j five again,lay e n one n
set green in o seven soon,lay e one n
bin white by h zero please,lay e one n
lay red by e six now,lay e one n
place red at c eight please,lay e one n
bin red at s eight please,lay e n one n
place green at y zero now,lay e n one n
lay red at k nine again,lay e i n
bin blue at l seven soon,lay e one n
place blue at o eight now,lay e n i n
place white at q three again,lay e n one n
place green with y nine soon,lay e one n
place green by e four please,lay e one n
lay white with m one soon,lay e one n
lay blue by e two please,lay e one n
lay white with s six please,lay e n one n
place green at d nine soon,lay e one n
lay white at z two please,lay e one n
place blue by p five again,lay e n one n
bin red by a zero please,lay e n one n
place red in v five soon,lay e n one n
place white in d zero please,lay e one n
place white at x four now,lay e n one n
place red by p nine soon,lay e one n
bin white in s eight now,lay e i n
