Truth,Decoded
bin red with g seven soon,lay r i five one
set white by c one soon,lay r i five one
lay blue at d six now,lay r i five one
lay blue at q five soon,lay r i five one
place green by y seven again,lay r i five soon
lay red by r seven again,lay r i five one
set blue with u seven again,lay r i five one
lay red at r one soon,lay r i five one
set red in h three again,lay r i five one
lay blue by k seven again,lay r i five one
bin green at n five soon,lay r i five one
place blue with p eight please,lay r i five one
place blue by c four now,lay r i five soon
lay green at z seven soon,lay r i five one
set red at h four now,lay r i five one
bin blue in f one again,lay r i five soon
set red in h one soon,lay r i five one
set red with v one soon,lay r i five soon
place red in i nine again,e r i e soon
bin blue at z six please,lay r i five one
bin blue in z zero now,e r i e soon
set red in n seven again,lay r i five one
bin white with a nine soon,lay r i five one
bin red at m three soon,lay r i five one
set white in o one soon,lay r i five one
lay red by r six please,lay r i five one
set blue by u three again,lay r i five soon
set red at b three again,lay r i five one
lay green with g three soon,lay r i five one
set white with c six please,lay r i five one
place green with r four now,lay r i five one
bin red in f seven again,lay r i five soon
bin green at t nine soon,lay r i five one
bin red at g zero please,lay r i five one
place red in p one soon,lay r i five one
set blue with o one soon,lay r i five one
lay white by l nine again,lay r i five one
set green at p one soon,lay r i five one
place blue by j one again,lay r i five one
lay green in z two now,lay r i five one
set green with d three again,lay r i five one
set blue by b one again,lay r i five one
place white by d eight please,lay r i five one
place green in q three soon,lay r i five one
lay white at r six now,lay r i five one
place white by y one again,lay r i five one
bin green in a five again,lay r i five one
bin green at a six now,lay r i five soon
place red at v eight now,lay r i five one
bin white with b zero please,lay r i five one
