Truth,Decoded
set red by u nine again,place white a h six soon
lay red by z zero please,a red by c two please
bin red with a four please,bin white i p nine please
bin blue by s five soon,bin blue with h bin soon
place green with r seven again,place blue with t six please
place white by q seven again,place white by p three please
bin red by a one again,place red at m one please
set red by u seven soon,s green i h two soon
bin green by o one again,place blue with y one please
place red at c nine again,place blue a c six again
lay green in f three again,s green a t six please
place white in d one again,place white a c two plson
place white at x five soon,place red a m r soon
lay white at f zero please,lay white a l r soon
bin blue in e eight now,bin blue a t six again
bin white in g two please,bin white a q two please
set white by v four please,a white with u r please
bin green in a four please,place blue in h one soon
lay red with l four now,place h with u four please
place white by k three again,place white by c h please
lay red in y three again,lay white a h one please
set blue at a four now,s blue i u r soon
bin red with g eight please,bin white with n bin please
place white in j four please,place white a c r please
bin white at g five soon,blue white a l two soon
set blue at n four please,s blue i u r soon
set blue in m nine soon,set blue by l nine soon
bin red with n two please,bin r a m four please
set red with i four please,a red with q r please
place blue with j four please,place blue i u r please
place white with k five soon,place blue i j five soon
bin white at m eight now,bin white at y nine now
bin green in t four now,place green in u r soon
bin red at m four please,place blue with m four please
lay red in q six now,lay white a q six soon
lay white in y seven soon,set red i y one soon
lay green with g four please,lay green with q r please
bin white at g seven again,place blue by x six soon
set white with c seven again,a white i v six please
lay green with t three again,set blue with c six please
lay blue at q six please,place blue i u two please
place red by x three soon,place red in l one soon
bin green by u four please,bin blue i b r soon
set green in i three soon,lay green i o o soon
bin green by u two now,place green by q t again
place blue by p four please,place blue with m one please
lay green in l six please,place white a t six please
bin red by g five again,bin white by c six soon
lay white by f five again,set white i p five please
bin blue by m zero now,bin blue i m four soon
