Truth,Decoded
place blue at i six please,place blue at h six please
place blue with d one again,place blue with u four please
set red in a six now,set white a c six soon
lay blue at x nine soon,set blue at d eight soon
place blue at o nine soon,place blue i r nine soon
set white with v nine again,set white with u eight bin
lay white at e eight now,e white at n eight now
bin red by t zero now,place red by c two soon
lay red by r five soon,set white by y three soon
set green at v six please,set blue with d six please
bin white with n seven soon,place blue with g six soon
place blue in o six please,place blue i u two please
bin white with h four please,bin white with q two soon
place blue by p two now,place blue by u two now
lay white in r two now,set white a q two soon
place red with x nine again,place white with v eight please
place red in c three soon,place white i g two soon
lay blue with e four now,set blue with u four soon
place green with l three again,place green with u two soon
bin red by m eight please,place r by m nine please
set blue with b four please,set blue with u four please
bin blue in e nine soon,bin blue at d nine soon
bin blue at f five again,bin blue in h five please
lay white by z six please,lay white by b six please
lay white in r three soon,set white a u two soon
lay red with f one soon,set blue with u one soon
place green at y three again,place blue with u bin please
place blue by i eight now,place blue with v six now
lay white in r four please,bin white in h one please
set blue by n seven soon,set blue by y eight soon
lay white in y nine again,lay white i y eight soon
set green in v one soon,s blue with u two soon
bin white by a six please,bin white by d six please
place white at d two now,place white a q two soon
place green in d five soon,place red with v two soon
set blue at n two now,set blue in q two soon
place white in p six now,place blue i t six now
place green at k three soon,place green in g two soon
place green at y one soon,place green i y one soon
place green in j eight now,place green in d nine soon
lay blue with r five again,set blue i r five soon
lay white with m zero now,set blue with v three soon
lay green at s five again,set green i h five please
lay red with l seven again,set white with q six soon
bin red with a two now,bin white with q two soon
set blue by u one soon,set blue by q e soon
lay red at r zero now,place blue with p nine please
lay red in e zero please,set white in c two please
place blue with j two now,place blue i q four now
set white with v seven soon,s blue with g one soon
