Truth,Decoded
set blue in g five soon,s green with u three soon
set green in o nine again,s red i k eight again
lay white with f seven soon,lay white with y three soon
place blue at v two now,place blue i q two again
place blue at p zero please,c blue by y three please
place red in v six please,place white i c six please
place white by x nine soon,place white by s bin soon
set white in h seven soon,set white a g two soon
lay blue with e five soon,place blue with u four soon
bin white with u two please,a white with u four soon
place green by k eight please,place blue by b six please
set green with q one again,s blue with e t plaeain
bin white with u three again,bin white with u r please
set red by i one again,s red by y one please
lay white in e four now,set white with b t soon
place red by d zero now,place blue by z set soon
set white at o five soon,set white in r soon
place blue with d zero please,place blue i e three soon
set red in n five soon,place green with t five soon
place red at j zero now,place white in t two soon
bin green in t five soon,place blue with c two soon
place red by j four now,place white by b two soon
place white at d four please,place blue i c one psoe
set green by j two please,set blue with e bin please
place red with q three soon,place white with u four soon
set red at o one again,place blue by c six please
place red at c six now,place blue i c six soon
lay blue in j seven soon,lay blue with c five soon
set green by p seven again,s green with c six please
lay red by l three again,set r by e two please
place green with l two please,place blue i u r soon
bin green with o three soon,place blue with u four soon
place green in q two now,place h in o two soon
place green with y eight now,place blue with u one again
lay blue in q two please,set blue i r soon
place blue at c two please,place blue i g two soon
set green at p zero now,s red with q two now
bin blue by s four now,five blue by y two soon
place green by y five soon,place blue by y one soon
place green in x six now,place blue i c six again
place blue by i nine soon,place blue i e nine soon
place blue in o seven again,s blue with m four now
bin white at n one again,bin white i e bin please
bin green with h nine soon,place blue with t two soon
lay green with m six now,s blue with v three please
lay white in l zero please,s white bin t soon
bin blue at s two please,bin blue i o two soon
bin white by t six now,bin white by e six now
place white with y two now,place white by y three now
place red by d two please,place blue by e two please
