Truth,Decoded
place blue at i six please,e n i in
place blue with d one again,e i e n
set red in a six now,e n i in
lay blue at x nine soon,e n i in
place blue at o nine soon,e n i in
set white with v nine again,e n i in
lay white at e eight now,e n i in
bin red by t zero now,e n i in
lay red by r five soon,e n i e n
set green at v six please,e n n in
bin white with n seven soon,e n i in
place blue in o six please,e n i e n
bin white with h four please,e n i in
place blue by p two now,e n i in
lay white in r two now,e n i in
place red with x nine again,e n n in
place red in c three soon,e n n in
lay blue with e four now,e n i in
place green with l three again,e n i in
bin red by m eight please,e n i in
set blue with b four please,e n i in
bin blue in e nine soon,e n i in
bin blue at f five again,e n i in
lay white by z six please,e n i in
lay white in r three soon,e n i in
lay red with f one soon,e n i in
place green at y three again,e n i in
place blue by i eight now,e n i in
lay white in r four please,e n n in
set blue by n seven soon,e n n in
lay white in y nine again,e n i in
set green in v one soon,e n i in
bin white by a six please,e n i in
place white at d two now,e n i in
place green in d five soon,e n i in
set blue at n two now,e n n in
place white in p six now,e n i in
place green at k three soon,e n i e n
place green at y one soon,e n n in
place green in j eight now,e n n in
lay blue with r five again,e i e n
lay white with m zero now,e n i in
lay green at s five again,e n n in
lay red with l seven again,e n i in
bin red with a two now,e n n in
set blue by u one soon,e n n in
lay red at r zero now,blue i in
lay red in e zero please,e n i in
place blue with j two now,e i e n
set white with v seven soon,e n i in
